local_id,remote_id.*
1383,journals/jcisd/LuingeKKM87 
1564,reference/ml/X17ke 
911,journals/jcisd/Pollock84 
3711,journals/jcisd/DaszykowskiWM02 
2172,conf/dsmml/LawrencePJ04 
1949,conf/bcb/SubramaniamNS11 
3551,conf/icdem/CeliaR10 
428,conf/wirn/YeSP10 
1943,books/sp/Quintarelli04 
3499,conf/kdd/KhoslaCLCHL10 
1946,conf/miccai/PaulyHN10 
1254,series/sci/BrazdilL10 
3559,reference/ml/X17lt reference/ml/X10le 
1945,journals/jcisd/DongYWHCDF02 
818,reference/ml/X17dq 
345,conf/iccS/KimKJL03 
347,reference/ml/GartnerHW17 
3853,reference/ml/Torgo17 
2425,conf/ihi/GuillenJE10 
343,journals/titb/BaskaranGBG11 
810,journals/jcisd/Zaye81 
811,reference/ml/X17dr 
812,reference/ml/X17ds 
813,reference/ml/X17dt 
348,journals/jcisd/Cuadra75 
816,reference/ml/X17dn 
1739,journals/jcisd/SchlieperIM88 
2859,reference/ml/X17qv 
2858,conf/cdb/1997 
2912,reference/ml/X17bp 
2913,journals/jcisd/BayadaHG99 
2914,journals/jcisd/Golbraikh00 
2916,reference/ml/NamataG17 
2917,reference/ml/X17bo 
1793,journals/ia/MelloSV10 
1792,journals/jcisd/NellessenF92 
2853,journals/jmlr/IlinR10 
1790,conf/isda/GoncalvesC10 
712,conf/xsym/2010 
3493,journals/jcisd/NickolaisenB86 
1490,conf/igarss/DomenicoCDNB06 
3332,reference/ml/Flach17b 
1492,reference/ml/X17ig 
1493,journals/ml/LaskovL10 
1494,reference/ml/X17ii 
1495,journals/pe/SoysalS10 
3335,reference/ml/Reid17 
1497,reference/ml/X17im 
1498,series/sci/KryzhanovskyKL10 
3203,reference/ml/Furnkranz17d 
3491,books/garland/Standish67 
423,journals/jcisd/BushS93 
1626,reference/ml/X17eb 
1068,journals/jcisd/ContrerasDR87 
1703,journals/jcisd/RoushSY79 
1704,reference/ml/X17vg 
1997,journals/corr/abs-1111-2111 
2383,reference/ml/Martin17 
1393,reference/ml/Krawiec17 
1168,series/sci/SkowronS10 
2591,journals/ml/CrandallG11 
1065,journals/jcisd/KrebsJ00 
1529,reference/ml/X17gf 
427,journals/jcisd/DuvenbeckZ93 
1669,journals/chinaf/LinWD04 
3682,conf/bibm/GaoL10 
1665,reference/ml/Sakakibara17 
912,journals/jcisd/Metanomski80 
1663,conf/saso/CouceiroRR10 
1661,conf/bncod/2005 
590,reference/ml/X17hl 
593,reference/ml/X17hm 
592,reference/ml/X17hn 
594,reference/ml/X17ho 
3775,journals/jcisd/Hawkins80 
3813,series/sci/HassanienASP10 
1122,reference/ml/X17bx 
3778,journals/mlc/ZhuW11 
3667,conf/gem/OliwaR10 
1126,journals/jcisd/RumbleL85 
1127,journals/jcisd/AlvagerGHW97 
3142,journals/jcisd/DelgodaP93 
2607,conf/acml/2011 
3146,conf/mipro/HucaljukR11 
1709,conf/icmla/BulbulU11 
3672,reference/ml/X17ix 
3816,journals/neuroimage/Rizk-JacksonSSKDGCPA11 
2820,reference/ml/X17ef 
2822,conf/caise/Bouneffouf11 
583,journals/jcisd/YangC03 
2543,reference/ml/X17mn 
2542,reference/ml/X17mm 
2541,reference/ml/X17mh 
2988,conf/jcdl/FerebeeBBH03 
3382,reference/ml/X17ed reference/ml/X10ea 
2602,journals/ml/LavioletteMSS10 
3028,reference/ml/KeoghM17 
2983,reference/ml/X17ca 
3026,conf/cibb/SavojardoFMSC10 
2981,reference/ml/X17nc 
2980,journals/esi/NativiCDB08 
1359,journals/jcisd/RozasF90 
3022,journals/bioinformatics/BallesterM10 
3388,reference/ml/X17nm 
3020,journals/jcisd/SchweitzerS96a 
526,reference/ml/HorvathW17 reference/ml/HorvathW10 
1408,journals/jcisd/KorhonenTLP03 
2385,conf/icmlc/WangLO10 
1019,journals/isci/KuoY10 
2387,conf/icmla/RamirezM11 
2386,journals/jcisd/TakaokaEYKOSOSY03 
1450,journals/jcisd/GoddenB02 
1016,journals/ecoi/FaisalDHB10 
1400,conf/dood/89 
1010,reference/ml/Cussens17 
1011,conf/cisda/ArndtZ11 
1518,reference/ml/X17ic 
2442,journals/ml/SingliarH10 
3582,reference/ml/Craw17a 
448,journals/jcisd/BawdenB85 
1230,series/synthesis/2010Genesereth 
1231,reference/ml/Roos17 
2444,reference/ml/Korb17 reference/ml/McAuleyCB17 
2524,reference/ml/X17lq reference/ml/Lanzi17 
2572,journals/jcisd/TrepalinSBNLIS03 
3589,reference/ml/X17hh 
